rank,token,count
972,leaves,1878
973,hole,1873
974,battle,1873
975,somethin,1873
976,walkin,1872
977,bitch,1872
978,fingers,1866
979,bite,1864
980,darlin,1862
981,spell,1861
982,build,1859
983,life's,1857
984,sunshine,1855
985,snow,1851
986,self,1850
987,shut,1848
988,bound,1842
989,track,1838
990,gives,1834
991,cares,1831
992,stood,1831
993,ass,1829
994,makin,1826
995,hundred,1826
996,chains,1820
997,bone,1817
998,voices,1815
999,telephone,1814
1000,slowly,1813
1001,flying,1801
1002,brought,1800
1003,falls,1800
1004,paid,1795
1005,stronger,1795
1006,dress,1789
1007,tall,1783
1008,soft,1783
1009,trees,1783
1010,johnny,1778
1011,mighty,1777
1012,surrender,1777
1013,knife,1776
1014,guys,1769
1015,changing,1766
1016,rule,1766
1017,tender,1759
1018,places,1758
1019,surprise,1756
1020,short,1756
1021,growing,1755
1022,moves,1753
1023,sorrow,1752
1024,prove,1751
1025,view,1749
1026,he'd,1748
1027,silent,1747
1028,evening,1746
1029,fair,1745
1030,screaming,1740
1031,cat,1737
1032,double,1734
1033,ends,1730
1034,fools,1728
1035,instead,1725
1036,winter,1724
1037,oo,1718
1038,raise,1718
1039,boom,1716
1040,cries,1715
1041,beauty,1714
1042,sleeping,1713
1043,minds,1711
1044,welcome,1711
1045,brown,1705
1046,none,1703
1047,pretend,1701
1048,stupid,1701
1049,already,1696
1050,box,1696
1051,food,1690
1052,rose,1689
1053,america,1688
1054,doctor,1685
1055,kinda,1685
1056,bar,1680
1057,question,1677
1058,thrill,1674
1059,calls,1668
1060,highway,1667
1061,rough,1665
1062,single,1660
1063,one's,1659
1064,jack,1653
1065,nation,1649
1066,brothers,1648
1067,sell,1646
1068,metal,1645
1069,nine,1641
1070,cah,1640
1071,final,1640
1072,dig,1640
1073,motion,1639
1074,below,1635
1075,spent,1633
1076,history,1626
1077,explain,1626
1078,business,1625
1079,lift,1624
1080,crack,1623
1081,fat,1621
1082,sent,1617
1083,burnin,1607
1084,join,1604
1085,precious,1603
1086,brings,1594
1087,stare,1591
1088,saturday,1590
1089,letter,1589
1090,anybody,1589
1091,rising,1588
1092,bass,1588
1093,early,1584
1094,wonderful,1581
1095,killing,1580
1096,rolling,1576
1097,swear,1576
1098,fucking,1575
1099,changes,1568
1100,mc,1563
1101,moonlight,1563
1102,quiet,1562
1103,riding,1561
1104,teach,1560
1105,locked,1559
1106,dare,1556
1107,week,1552
1108,movin,1552
1109,mistake,1549
1110,hill,1545
1111,fit,1545
1112,prayer,1544
1113,reality,1544
1114,there'll,1540
1115,beneath,1540
1116,hop,1536
1117,dj,1532
1118,lock,1530
1119,force,1529
1120,wheel,1528
1121,climb,1527
1122,pop,1525
1123,distance,1524
1124,christ,1523
1125,busy,1523
1126,bones,1521
1127,lived,1520
1128,fever,1517
1129,bought,1515
1130,south,1513
1131,sweat,1511
1132,hurry,1510
1133,noise,1508
1134,stage,1506
1135,heads,1505
1136,grave,1500
1137,happens,1500
1138,anywhere,1494
1139,endless,1493
1140,wave,1490
1141,stuck,1490
1142,promises,1486
1143,won,1485
1144,built,1485
1145,youth,1485
1146,harder,1484
1147,hi,1483
1148,sayin,1483
1149,grace,1482
1150,awake,1480
1151,quick,1480
1152,tune,1480
1153,beer,1480
1154,hiding,1479
1155,thinkin,1479
1156,outta,1476
1157,whenever,1475
1158,souls,1472
1159,passing,1472
1160,cash,1471
1161,playin,1470
1162,feed,1467
1163,foot,1463
1164,search,1462
1165,satisfied,1461
1166,lovely,1456
1167,shock,1452
1168,speed,1450
1169,bridge,1448
1170,tells,1447
1171,heartache,1442
1172,sunday,1442
1173,whisper,1441
1174,vision,1441
1175,case,1441
1176,ghost,1440
1177,weather,1440
1178,crew,1440
1179,beach,1440
1180,ship,1440
1181,american,1439
1182,flowers,1438
1183,super,1437
1184,seemed,1436
1185,least,1432
1186,spread,1432
1187,pieces,1431
1188,begins,1428
1189,bomb,1428
1190,smell,1428
1191,grab,1426
1192,record,1426
1193,dressed,1420
1194,east,1418
1195,serious,1417
1196,bear,1417
1197,begun,1417
1198,breathe,1416
1199,paper,1411
1200,happiness,1408
1201,sexy,1407
1202,heart's,1407
1203,surely,1406
1204,asking,1406
1205,cars,1405
1206,beats,1404
1207,heartbeat,1403
1208,ears,1402
1209,runs,1401
1210,bells,1401
1211,wise,1399
1212,sucker,1399
1213,pack,1396
1214,twenty,1395
1215,dangerous,1395
1216,disguise,1393
1217,dollar,1391
1218,waitin,1391
1219,swing,1390
1220,clock,1388
1221,breaks,1386
1222,burned,1381
1223,legs,1380
1224,where's,1377
1225,destiny,1376
1226,lots,1376
1227,sail,1373
1228,problem,1369
1229,began,1368
1230,stands,1367
1231,cruel,1367
1232,takin,1365
1233,suddenly,1364
1234,burns,1364
1235,pure,1362
1236,ear,1361
1237,respect,1357
1238,hero,1357
1239,bird,1356
1240,warning,1355
1241,strangers,1351
1242,jungle,1342
1243,fame,1340
1244,keeping,1340
1245,flash,1339
1246,grey,1338
1247,john,1335
1248,plans,1330
1249,fears,1329
1250,hoping,1329
1251,mary,1326
1252,stopped,1320
1253,laid,1317
1254,beating,1316
1255,class,1314
1256,wheels,1314
1257,tongue,1314
1258,chain,1311
1259,clap,1306
1260,disco,1303
1261,wondering,1303
1262,blows,1302
1263,cast,1302
1264,promised,1302
1265,passed,1301
1266,situation,1301
1267,trip,1297
1268,laughter,1295
1269,thin,1288
