token,clean_token,is_short_token,has_repeated_char_pattern,has_nonstandard_chars,is_probable_name,is_probable_filler,quality_flags,min_count_all_labels,max_count_all_labels,mean_count_all_labels,count_ratio_max_to_min,count_cv_all_labels,range_cosine_similarity,range_cosine_distance,adjacent_distance_mean,adjacent_distance_sum,adjacent_distance_max,dominant_jump_pair,one_step_dominance,count_1960_1969,count_1970_1979,count_1980_1989,count_1990_1999,count_2000_2009,count_2010_2019,cos_1960_1969__to__1970_1979,cos_1970_1979__to__1980_1989,cos_1980_1989__to__1990_1999,cos_1990_1999__to__2000_2009,cos_2000_2009__to__2010_2019,dist_1960_1969__to__1970_1979,dist_1970_1979__to__1980_1989,dist_1980_1989__to__1990_1999,dist_1990_1999__to__2000_2009,dist_2000_2009__to__2010_2019
zoo,True,False,False,False,False,False,,162,6284,1514.1666666666667,38.79012345679013,1.427099724946778,0.2607625722885132,0.7392374277114868,0.4458972454071045,2.2294862270355225,0.533317506313324,1990_1999__to__2000_2009,0.2392109445872018,162,218,478,755,1188,6284,0.5856528282165527,0.536360502243042,0.5888364911079407,0.466682493686676,0.5929814577102661,0.41434717178344727,0.463639497756958,0.4111635088920593,0.533317506313324,0.4070185422897339
partner,True,False,False,False,False,False,,100,7408,1817.1666666666667,74.08,1.4071684498688868,0.26302066445350647,0.7369793355464935,0.5014294445514679,2.5071472227573395,0.5731776356697083,1980_1989__to__1990_1999,0.2286174622961839,100,220,415,1129,1631,7408,0.5238267183303833,0.512116014957428,0.42682236433029175,0.4826800525188446,0.5474076271057129,0.4761732816696167,0.487883985042572,0.5731776356697083,0.5173199474811554,0.4525923728942871
lean,True,False,False,False,False,False,,220,60080,11481.0,273.09090909090907,1.898396296635263,0.263969749212265,0.736030250787735,0.35044063329696656,1.7522031664848328,0.40854591131210327,1960_1969__to__1970_1979,0.23316126755535097,220,628,890,1903,5165,60080,0.5914540886878967,0.6743001937866211,0.6726763844490051,0.6493553519248962,0.660010814666748,0.40854591131210327,0.3256998062133789,0.3273236155509949,0.35064464807510376,0.33998918533325195
dan,True,False,False,False,False,False,,137,5659,1292.6666666666667,41.306569343065696,1.5266737871108995,0.26447030901908875,0.7355296909809113,0.5675550103187561,2.8377750515937805,0.684632807970047,1960_1969__to__1970_1979,0.24125689863456107,137,233,201,549,977,5659,0.315367192029953,0.44880613684654236,0.3973258137702942,0.4578257203102112,0.5429000854492188,0.684632807970047,0.5511938631534576,0.6026741862297058,0.5421742796897888,0.45709991455078125
lane,True,False,False,False,False,False,,275,37998,7594.0,138.17454545454547,1.800188653665276,0.2652999758720398,0.7347000241279602,0.37352163791656495,1.8676081895828247,0.45347028970718384,1980_1989__to__1990_1999,0.24280804305558187,275,391,731,1726,4443,37998,0.6616503000259399,0.6196476221084595,0.5465297102928162,0.6132912635803223,0.6912729144096375,0.33834969997406006,0.3803523778915405,0.45347028970718384,0.38670873641967773,0.30872708559036255
sandy,True,False,False,False,False,False,,119,2245,583.3333333333334,18.865546218487395,1.291161666476972,0.2658715844154358,0.7341284155845642,0.5593116819858551,2.7965584099292755,0.6354649066925049,1960_1969__to__1970_1979,0.22723105100764754,119,187,155,305,489,2245,0.3645350933074951,0.4949069023132324,0.4014663100242615,0.4459293782711029,0.49660390615463257,0.6354649066925049,0.5050930976867676,0.5985336899757385,0.5540706217288971,0.5033960938453674
puff,True,False,False,False,False,False,,105,12013,2720.8333333333335,114.4095238095238,1.5581079510698062,0.2661294639110565,0.7338705360889435,0.4448649942874908,2.2243249714374542,0.5411340296268463,1960_1969__to__1970_1979,0.2432801126523982,152,105,206,1448,2401,12013,0.4588659703731537,0.5147395730018616,0.5181077718734741,0.5730464458465576,0.7109152674674988,0.5411340296268463,0.4852604269981384,0.4818922281265259,0.4269535541534424,0.2890847325325012
jive,True,False,False,False,False,False,,135,1913,817.0,14.170370370370371,0.6593407770068629,0.2664721608161926,0.7335278391838074,0.4659949362277985,2.3299746811389923,0.5291771590709686,1990_1999__to__2000_2009,0.22711712850556984,135,684,590,745,835,1913,0.5059723854064941,0.5734090805053711,0.5460530519485474,0.47082284092903137,0.5737679600715637,0.49402761459350586,0.4265909194946289,0.45394694805145264,0.5291771590709686,0.4262320399284363
baba,True,False,False,False,False,False,,103,3133,701.5,30.41747572815534,1.5575181809046388,0.2677310109138489,0.7322689890861511,0.5129530131816864,2.564765065908432,0.6039683222770691,2000_2009__to__2010_2019,0.2354868016198378,103,158,205,171,439,3133,0.5201496481895447,0.45142343640327454,0.5563371181488037,0.5112930536270142,0.3960316777229309,0.4798503518104553,0.5485765635967255,0.4436628818511963,0.48870694637298584,0.6039683222770691
woo,True,False,False,False,False,False,,1182,57208,12421.333333333334,48.39932318104907,1.6208997915038263,0.26841750741004944,0.7315824925899506,0.5047304391860962,2.523652195930481,0.6739477813243866,1980_1989__to__1990_1999,0.26705256073367084,1182,2802,2239,3386,7711,57208,0.679145097732544,0.5259169936180115,0.3260522186756134,0.37035223841667175,0.5748812556266785,0.32085490226745605,0.4740830063819885,0.6739477813243866,0.6296477615833282,0.42511874437332153
duck,True,False,False,False,False,False,,126,14814,3471.6666666666665,117.57142857142857,1.492988346090396,0.2741298973560333,0.7258701026439667,0.46497827768325806,2.3248913884162903,0.6346005499362946,1970_1979__to__1980_1989,0.27295922428814307,126,198,610,1945,3137,14814,0.49151697754859924,0.36539945006370544,0.5191470384597778,0.5882817506790161,0.7107633948326111,0.5084830224514008,0.6346005499362946,0.48085296154022217,0.4117182493209839,0.2892366051673889
press,True,False,False,False,False,False,,132,19727,4360.166666666667,149.4469696969697,1.6048660569885418,0.27586889266967773,0.7241311073303223,0.3931260108947754,1.965630054473877,0.48843520879745483,1960_1969__to__1970_1979,0.24848786153109062,132,219,559,1524,4000,19727,0.5115647912025452,0.5150121450424194,0.5692901611328125,0.66706782579422,0.771435022354126,0.48843520879745483,0.48498785495758057,0.4307098388671875,0.33293217420578003,0.22856497764587402
hook,True,False,False,False,False,False,,112,123585,22577.166666666668,1103.4375,2.0043059019192824,0.28061822056770325,0.7193817794322968,0.37804421186447146,1.8902210593223572,0.4060487151145935,1980_1989__to__1990_1999,0.21481546463150805,112,225,562,3178,7801,123585,0.6488689184188843,0.6111890077590942,0.5939512848854065,0.61946702003479,0.6363027095794678,0.3511310815811157,0.38881099224090576,0.4060487151145935,0.38053297996520996,0.3636972904205322
rocking,True,False,False,False,False,False,,234,24930,5468.833333333333,106.53846153846153,1.6082242788207273,0.28519487380981445,0.7148051261901855,0.3786300301551819,1.8931501507759094,0.4768717885017395,1960_1969__to__1970_1979,0.25189327339212536,234,672,1118,1675,4184,24930,0.5231282114982605,0.5971341133117676,0.5763853192329407,0.6794357895851135,0.7307664155960083,0.4768717885017395,0.4028658866882324,0.4236146807670593,0.3205642104148865,0.2692335844039917
canyon,True,False,False,False,False,False,,102,1643,461.8333333333333,16.107843137254903,1.1786186892441184,0.28724902868270874,0.7127509713172913,0.43290968537330626,2.1645484268665314,0.5271371304988861,1960_1969__to__1970_1979,0.24353214922614896,102,142,112,294,478,1643,0.4728628695011139,0.6313528418540955,0.5361078977584839,0.5893040895462036,0.6058238744735718,0.5271371304988861,0.36864715814590454,0.4638921022415161,0.4106959104537964,0.3941761255264282
molly,True,False,False,False,False,False,,127,21362,3825.6666666666665,168.20472440944883,2.050404078379432,0.2885449230670929,0.7114550769329071,0.4963414341211319,2.4817071706056595,0.7549008280038834,2000_2009__to__2010_2019,0.3041861009813056,253,127,174,431,607,21362,0.6744734048843384,0.6833769679069519,0.5679721236228943,0.3473711609840393,0.24509917199611664,0.3255265951156616,0.3166230320930481,0.4320278763771057,0.6526288390159607,0.7549008280038834
hooray,True,False,False,False,False,False,,107,1515,493.8333333333333,14.158878504672897,1.0034292190378882,0.2896518111228943,0.7103481888771057,0.45519150495529176,2.2759575247764587,0.4823128581047058,1980_1989__to__1990_1999,0.21191645839351853,107,131,149,413,648,1515,0.5234338045120239,0.5828489661216736,0.5176871418952942,0.5399929285049438,0.5600796341896057,0.4765661954879761,0.4171510338783264,0.4823128581047058,0.46000707149505615,0.4399203658103943
sock,True,False,False,False,False,False,,179,5375,1228.1666666666667,30.027932960893853,1.5189029882914626,0.29193592071533203,0.708064079284668,0.3922307252883911,1.9611536264419556,0.47584986686706543,1980_1989__to__1990_1999,0.24263773141035425,269,276,179,473,797,5375,0.6410418748855591,0.6423819661140442,0.5241501331329346,0.566936194896698,0.6643362045288086,0.3589581251144409,0.3576180338859558,0.47584986686706543,0.433063805103302,0.3356637954711914
main,True,False,False,False,False,False,,158,26286,5520.0,166.36708860759492,1.694320183851248,0.2920688986778259,0.7079311013221741,0.5001368343830108,2.5006841719150543,0.6054366230964661,1970_1979__to__1980_1989,0.24210839173377713,158,492,769,1939,3476,26286,0.4880885183811188,0.39456337690353394,0.4334107041358948,0.534912109375,0.6483411192893982,0.5119114816188812,0.6054366230964661,0.5665892958641052,0.465087890625,0.3516588807106018
bull,True,False,False,False,False,False,,190,9483,2135.1666666666665,49.910526315789475,1.558388177204141,0.2923661172389984,0.7076338827610016,0.4697552382946014,2.348776191473007,0.5066438615322113,1980_1989__to__1990_1999,0.21570546541280955,255,190,314,862,1707,9483,0.5213648080825806,0.5004134774208069,0.4933561384677887,0.5485583543777466,0.5875310301780701,0.47863519191741943,0.4995865225791931,0.5066438615322113,0.4514416456222534,0.41246896982192993
