rank,token,count
1202,whiskey,804
1203,plays,802
1204,wave,801
1205,bend,800
1206,sir,800
1207,crime,798
1208,hangin,797
1209,harmony,795
1210,sell,794
1211,tv,794
1212,strength,793
1213,smell,792
1214,although,790
1215,harder,789
1216,hollywood,789
1217,prove,789
1218,dressed,788
1219,sings,788
1220,view,785
1221,bottom,783
1222,keeping,783
1223,shoulder,783
1224,fish,782
1225,burnin,782
1226,island,782
1227,chains,781
1228,trip,780
1229,forgive,779
1230,often,779
1231,dum,775
1232,nose,772
1233,clap,771
1234,calls,770
1235,food,769
1236,fat,768
1237,scared,766
1238,pieces,766
1239,affair,766
1240,god's,765
1241,course,765
1242,bus,764
1243,meaning,764
1244,cowboy,761
1245,eyed,758
1246,outta,758
1247,bay,757
1248,stayed,757
1249,watched,756
1250,ridin,754
1251,built,752
1252,whose,752
1253,feed,750
1254,blowing,750
1255,thinks,750
1256,park,749
1257,loneliness,749
1258,lifetime,748
1259,judge,745
1260,pleasure,745
1261,wah,743
1262,candy,743
1263,state,742
1264,natty,737
1265,travel,736
1266,somebody's,735
1267,silly,735
1268,beg,735
1269,hip,735
1270,stands,734
1271,nature,734
1272,weary,733
1273,bow,733
1274,cast,733
1275,kisses,731
1276,mile,731
1277,wash,731
1278,clock,730
1279,prayer,730
1280,cries,730
1281,east,730
1282,texas,729
1283,flies,729
1284,quick,729
1285,valley,728
1286,drunk,728
1287,waves,728
1288,voices,724
1289,boat,722
1290,stare,722
1291,hardly,722
1292,stuck,721
1293,wow,720
1294,nobody's,720
1295,fields,720
1296,lightning,720
1297,begins,719
1298,anytime,719
1299,tennessee,718
1300,north,718
1301,falls,718
1302,weekend,717
1303,sailing,717
1304,wo,717
1305,master,716
1306,cars,716
1307,christ,713
1308,swing,713
1309,chain,713
1310,pa,713
1311,rainy,713
1312,diamond,712
1313,wherever,710
1314,strangers,710
1315,monday,709
1316,glow,709
1317,movie,706
1318,coffee,705
1319,sold,705
1320,grew,705
1321,tellin,704
1322,sadness,704
1323,locked,703
1324,afternoon,703
1325,blows,703
1326,question,702
1327,super,702
1328,foolish,701
1329,tide,701
1330,spoken,701
1331,comfort,701
1332,tough,700
1333,guys,699
1334,goodnight,699
1335,cover,699
1336,store,699
1337,pulled,699
1338,pity,698
1339,fantasy,698
1340,hiding,697
1341,recall,694
1342,forgotten,693
1343,legs,692
1344,moves,691
1345,world's,690
1346,bang,690
1347,gypsy,689
1348,dreamed,689
1349,desert,689
1350,plane,688
1351,momma,687
1352,action,687
1353,self,685
1354,ticket,685
1355,church,685
1356,nearly,684
1357,missed,684
1358,jive,684
1359,sweeter,684
1360,friday,684
1361,grace,683
1362,soldier,682
1363,waited,682
1364,re,681
1365,one's,681
1366,awhile,679
1367,moved,679
1368,chair,678
1369,tea,677
1370,opened,676
1371,doors,675
1372,runs,675
1373,raised,674
1374,tie,673
1375,rocking,672
1376,beware,668
1377,monkey,668
1378,reaching,667
1379,headed,667
1380,clown,666
1381,burned,665
1382,walks,665
1383,situation,664
1384,lift,663
1385,likes,663
1386,georgia,662
1387,waters,661
1388,showed,661
1389,stage,660
1390,reality,660
1391,flash,659
1392,thy,658
1393,du,658
1394,choice,657
1395,grave,656
1396,flight,655
1397,reasons,655
1398,shows,654
1399,bobby,652
1400,steel,651
1401,standin,651
1402,pocket,649
1403,sigh,648
1404,speed,648
1405,awake,647
1406,sisters,646
1407,ghetto,646
1408,sung,643
1409,written,643
1410,himself,643
1411,american,643
1412,among,641
1413,dah,640
1414,hotel,640
1415,sometime,639
1416,hero,638
1417,aw,637
1418,thanks,636
1419,fortune,636
1420,bite,636
1421,shut,635
1422,cruel,635
1423,distant,633
1424,stole,633
1425,something's,632
1426,rule,632
1427,satisfy,632
1428,flowing,631
1429,pants,630
1430,someone's,630
1431,spinning,629
1432,lean,628
1433,rings,628
1434,fears,627
1435,paint,626
1436,jail,625
1437,gray,624
1438,sees,623
1439,wood,623
1440,wet,623
1441,arm,622
1442,problems,621
1443,captain,621
1444,pure,619
1445,killing,619
1446,reached,618
1447,nation,617
1448,wanting,616
1449,mistake,616
1450,motion,616
1451,honky,616
1452,closed,616
1453,knife,614
1454,ending,613
1455,blessed,613
1456,fi,612
1457,downtown,611
1458,supposed,611
1459,mellow,611
1460,threw,610
1461,thin,610
1462,jimmy,608
1463,direction,608
1464,vain,608
1465,distance,608
1466,babylon,605
1467,forty,604
1468,sally,604
1469,jungle,603
1470,laughed,603
1471,wishing,602
1472,certain,602
1473,spoke,601
1474,wasted,600
1475,asleep,600
1476,seat,600
1477,blew,599
1478,deeper,599
1479,bringing,598
1480,chase,598
1481,truly,598
1482,bother,598
1483,lock,597
1484,daddy's,597
1485,bag,596
1486,tied,596
1487,smiled,596
1488,dad,596
1489,worked,595
1490,spin,595
1491,danger,594
1492,jane,592
1493,color,592
1494,callin,592
1495,whether,591
1496,woman's,591
1497,dare,591
1498,santa,590
1499,drove,589
1500,busy,588
