token,left_label,right_label,cosine_similarity,cosine_distance,left_count,right_count,min_count,max_count,mean_count,count_ratio_max_to_min,clean_token,is_short_token,has_repeated_char_pattern,has_nonstandard_chars,is_probable_name,is_probable_filler,quality_flags
anna,1960_1969,2010_2019,0.3045337498188019,0.6954662501811981,100,2225,100,2225,1162.5,22.25,True,False,False,False,False,False,
bid,1960_1969,2010_2019,0.30498871207237244,0.6950112879276276,176,4052,176,4052,2114.0,23.022727272727273,True,False,False,False,False,False,
hooked,1960_1969,2010_2019,0.30511385202407837,0.6948861479759216,123,8271,123,8271,4197.0,67.2439024390244,True,False,False,False,False,False,
willy,1960_1969,2010_2019,0.3057848811149597,0.6942151188850403,103,2911,103,2911,1507.0,28.262135922330096,False,False,False,False,True,False,probable_name
market,1960_1969,2010_2019,0.3063327968120575,0.6936672031879425,106,6222,106,6222,3164.0,58.698113207547166,True,False,False,False,False,False,
fox,1960_1969,2010_2019,0.3066646158695221,0.6933353841304779,176,5369,176,5369,2772.5,30.505681818181817,True,False,False,False,False,False,
wee,1960_1969,2010_2019,0.3069814145565033,0.6930185854434967,504,5486,504,5486,2995.0,10.884920634920634,True,False,False,False,False,False,
lower,1960_1969,2010_2019,0.30704420804977417,0.6929557919502258,102,8667,102,8667,4384.5,84.97058823529412,True,False,False,False,False,False,
wood,1960_1969,2010_2019,0.3076987862586975,0.6923012137413025,367,16864,367,16864,8615.5,45.950953678474114,True,False,False,False,False,False,
tramp,1960_1969,2010_2019,0.3084564208984375,0.6915435791015625,121,1327,121,1327,724.0,10.96694214876033,True,False,False,False,False,False,
cannonball,1960_1969,2010_2019,0.3094556927680969,0.6905443072319031,108,1275,108,1275,691.5,11.805555555555555,True,False,False,False,False,False,
jam,1960_1969,2010_2019,0.3094960153102875,0.6905039846897125,101,16037,101,16037,8069.0,158.78217821782178,True,False,False,False,False,False,
beep,1960_1969,2010_2019,0.30955591797828674,0.6904440820217133,195,9111,195,9111,4653.0,46.723076923076924,True,False,False,False,False,False,
jerk,1960_1969,2010_2019,0.31011638045310974,0.6898836195468903,270,5407,270,5407,2838.5,20.025925925925925,True,False,False,False,False,False,
heartbreak,1960_1969,2010_2019,0.31078580021858215,0.6892141997814178,223,9220,223,9220,4721.5,41.34529147982063,True,False,False,False,False,False,
flat,1960_1969,2010_2019,0.3112863600254059,0.6887136399745941,344,15211,344,15211,7777.5,44.218023255813954,True,False,False,False,False,False,
row,1960_1969,2010_2019,0.3116607666015625,0.6883392333984375,409,14908,409,14908,7658.5,36.44987775061125,True,False,False,False,False,False,
alvin,1960_1969,2010_2019,0.3121580183506012,0.6878419816493988,128,331,128,331,229.5,2.5859375,True,False,False,False,False,False,
gay,1960_1969,2010_2019,0.3127199709415436,0.6872800290584564,568,18129,568,18129,9348.5,31.91725352112676,True,False,False,False,False,False,
lu,1960_1969,2010_2019,0.31273242831230164,0.6872675716876984,104,1692,104,1692,898.0,16.26923076923077,False,True,False,False,False,False,too_short
tighten,1960_1969,2010_2019,0.312965989112854,0.687034010887146,170,2141,170,2141,1155.5,12.594117647058823,True,False,False,False,False,False,
pressure,1960_1969,2010_2019,0.3131656348705292,0.6868343651294708,102,38719,102,38719,19410.5,379.5980392156863,True,False,False,False,False,False,
willie,1960_1969,2010_2019,0.3133135437965393,0.6866864562034607,203,2665,203,2665,1434.0,13.12807881773399,True,False,False,False,False,False,
lone,1960_1969,2010_2019,0.31416022777557373,0.6858397722244263,123,8768,123,8768,4445.5,71.28455284552845,True,False,False,False,False,False,
cheap,1960_1969,2010_2019,0.3155094385147095,0.6844905614852905,128,20718,128,20718,10423.0,161.859375,True,False,False,False,False,False,
hitch,1960_1969,2010_2019,0.31654688715934753,0.6834531128406525,522,1477,522,1477,999.5,2.8295019157088124,True,False,False,False,False,False,
drag,1960_1969,2010_2019,0.3173351585865021,0.6826648414134979,367,18026,367,18026,9196.5,49.11716621253406,True,False,False,False,False,False,
goo,1960_1969,2010_2019,0.3177359104156494,0.6822640895843506,157,2363,157,2363,1260.0,15.050955414012739,True,False,False,False,False,False,
lisa,1960_1969,2010_2019,0.3181200325489044,0.6818799674510956,108,4504,108,4504,2306.0,41.7037037037037,False,False,False,False,True,False,probable_name
mojo,1960_1969,2010_2019,0.3183174729347229,0.6816825270652771,288,2179,288,2179,1233.5,7.565972222222222,True,False,False,False,False,False,
wh,1960_1969,2010_2019,0.3192324638366699,0.6807675361633301,113,2558,113,2558,1335.5,22.63716814159292,False,True,False,False,False,False,too_short
grand,1960_1969,2010_2019,0.3192998766899109,0.6807001233100891,368,18772,368,18772,9570.0,51.01086956521739,True,False,False,False,False,False,
snake,1960_1969,2010_2019,0.3193565905094147,0.6806434094905853,133,15822,133,15822,7977.5,118.9624060150376,True,False,False,False,False,False,
louie,1960_1969,2010_2019,0.31965112686157227,0.6803488731384277,223,5318,223,5318,2770.5,23.847533632286996,False,False,False,False,True,True,probable_name|probable_filler
cave,1960_1969,2010_2019,0.32060661911964417,0.6793933808803558,137,8447,137,8447,4292.0,61.65693430656934,True,False,False,False,False,False,
sha,1960_1969,2010_2019,0.3207607567310333,0.6792392432689667,370,4586,370,4586,2478.0,12.394594594594595,True,False,False,False,False,False,
swallow,1960_1969,2010_2019,0.32127776741981506,0.6787222325801849,131,22354,131,22354,11242.5,170.6412213740458,True,False,False,False,False,False,
hawaii,1960_1969,2010_2019,0.3215341866016388,0.6784658133983612,110,1359,110,1359,734.5,12.354545454545455,False,False,False,False,False,True,probable_filler
louis,1960_1969,2010_2019,0.321664959192276,0.678335040807724,237,15484,237,15484,7860.5,65.33333333333333,False,False,False,False,False,True,probable_filler
alley,1960_1969,2010_2019,0.32170629501342773,0.6782937049865723,393,5953,393,5953,3173.0,15.147582697201019,True,False,False,False,False,False,
shit,1960_1969,2010_2019,0.32208314538002014,0.6779168546199799,137,1013800,137,1013800,506968.5,7400.0,True,False,False,False,False,False,
david,1960_1969,2010_2019,0.32280993461608887,0.6771900653839111,120,8913,120,8913,4516.5,74.275,False,False,False,False,True,False,probable_name
square,1960_1969,2010_2019,0.32308387756347656,0.6769161224365234,365,10996,365,10996,5680.5,30.126027397260273,True,False,False,False,False,False,
barbara,1960_1969,2010_2019,0.32340481877326965,0.6765951812267303,134,793,134,793,463.5,5.917910447761194,False,False,False,False,True,False,probable_name
ghost,1960_1969,2010_2019,0.3237059712409973,0.6762940287590027,213,54759,213,54759,27486.0,257.0845070422535,True,False,False,False,False,False,
rover,1960_1969,2010_2019,0.32373443245887756,0.6762655675411224,171,6541,171,6541,3356.0,38.251461988304094,True,False,False,False,False,False,
fee,1960_1969,2010_2019,0.32379019260406494,0.6762098073959351,120,7098,120,7098,3609.0,59.15,True,False,False,False,False,False,
declare,1960_1969,2010_2019,0.3239932060241699,0.6760067939758301,138,3002,138,3002,1570.0,21.753623188405797,True,False,False,False,False,False,
slippin,1960_1969,2010_2019,0.32459819316864014,0.6754018068313599,110,8807,110,8807,4458.5,80.06363636363636,True,False,False,False,False,False,
box,1960_1969,2010_2019,0.3247646391391754,0.6752353608608246,291,38466,291,38466,19378.5,132.18556701030928,True,False,False,False,False,False,
aw,1960_1969,2010_2019,0.32485219836235046,0.6751478016376495,361,13564,361,13564,6962.5,37.57340720221607,False,True,False,False,False,False,too_short
john,1960_1969,2010_2019,0.324906587600708,0.675093412399292,912,20677,912,20677,10794.5,22.672149122807017,False,False,False,False,True,False,probable_name
monkey,1960_1969,2010_2019,0.32524529099464417,0.6747547090053558,638,8589,638,8589,4613.5,13.462382445141065,True,False,False,False,False,False,
ol,1960_1969,2010_2019,0.3254246115684509,0.6745753884315491,708,12799,708,12799,6753.5,18.077683615819208,False,True,False,False,False,False,too_short
charlie,1960_1969,2010_2019,0.32585370540618896,0.674146294593811,299,7020,299,7020,3659.5,23.47826086956522,False,False,False,False,True,False,probable_name
china,1960_1969,2010_2019,0.32611358165740967,0.6738864183425903,124,5208,124,5208,2666.0,42.0,True,False,False,False,False,False,
rescue,1960_1969,2010_2019,0.32651224732398987,0.6734877526760101,102,7609,102,7609,3855.5,74.59803921568627,True,False,False,False,False,False,
y'all,1960_1969,2010_2019,0.32716748118400574,0.6728325188159943,421,183814,421,183814,92117.5,436.6128266033254,True,False,False,False,False,False,
simon,1960_1969,2010_2019,0.32717689871788025,0.6728231012821198,104,2785,104,2785,1444.5,26.778846153846153,False,False,False,False,True,False,probable_name
twist,1960_1969,2010_2019,0.32721367478370667,0.6727863252162933,972,17139,972,17139,9055.5,17.632716049382715,True,False,False,False,False,False,
wo,1960_1969,2010_2019,0.3273153007030487,0.6726846992969513,424,9650,424,9650,5037.0,22.75943396226415,False,True,False,False,False,False,too_short
waltz,1960_1969,2010_2019,0.32738369703292847,0.6726163029670715,159,1662,159,1662,910.5,10.452830188679245,True,False,False,False,False,False,
aww,1960_1969,2010_2019,0.32757818698883057,0.6724218130111694,147,4699,147,4699,2423.0,31.965986394557824,True,False,False,False,False,False,
rambling,1960_1969,2010_2019,0.32795000076293945,0.6720499992370605,106,1285,106,1285,695.5,12.122641509433961,True,False,False,False,False,False,
bobby,1960_1969,2010_2019,0.3280487060546875,0.6719512939453125,364,8288,364,8288,4326.0,22.76923076923077,False,False,False,False,True,False,probable_name
hip,1960_1969,2010_2019,0.3280504643917084,0.6719495356082916,301,40522,301,40522,20411.5,134.62458471760797,True,False,False,False,False,False,
maker,1960_1969,2010_2019,0.32862594723701477,0.6713740527629852,120,7295,120,7295,3707.5,60.791666666666664,True,False,False,False,False,False,
pardon,1960_1969,2010_2019,0.32962504029273987,0.6703749597072601,233,9972,233,9972,5102.5,42.798283261802574,True,False,False,False,False,False,
rum,1960_1969,2010_2019,0.33004093170166016,0.6699590682983398,270,9087,270,9087,4678.5,33.65555555555556,True,False,False,False,False,False,
